,Cities,Cloudiness,Humidity,Latitude,Longitude,Temp,Wind Speed
249,chokurdakh,0,0,89.84,155.68,-30.1,8.77
250,nikolskoye,40,62,39.83,176.65,19.4,11.18
251,aquiraz,20,88,-0.32,-36.00,78.8,3.36
252,volot,0,66,57.65,30.62,20.3,6.2
253,manthani,0,64,18.47,79.92,89.06,4.63
254,omsukchan,76,75,60.91,157.23,-5.26,2.84
255,port keats,92,100,-13.25,126.06,77.45,11.9
256,acapulco,5,88,3.46,-104.27,71.6,3.51
257,aklavik,90,85,78.90,-141.24,12.2,3.36
258,fare,76,100,-16.45,-150.79,80.24,16.15
259,dingwall,75,64,57.85,-4.53,35.04,18.34
260,adre,0,14,15.17,22.83,91.58,10.56
261,ende,8,100,-7.75,121.41,82.94,7.76
262,forest grove,90,93,45.53,-123.37,43.2,2.17
263,tsumeb,92,100,-19.15,17.70,66.83,7.2
264,ilulissat,24,76,81.62,-41.88,-5.81,2.24
265,shenjiamen,0,87,30.88,125.29,54.5,12.57
266,marataizes,92,100,-21.34,-40.66,76.28,5.75
267,torbay,90,100,47.20,-51.71,28.4,5.82
268,bacolod,12,63,9.68,130.50,84.47,13.24
269,nacala,48,91,-14.18,40.12,84.2,11.23
270,constantine,40,71,36.95,6.23,50.0,8.05
271,santa isabel,80,100,28.20,-112.98,62.15,1.61
272,gravdal,0,36,72.09,11.29,27.43,4.7
273,zaraza,8,73,8.84,-65.19,76.73,10.67
274,charters towers,12,68,-20.56,145.86,78.8,5.41
275,martapura,36,82,-5.15,115.39,85.37,8.99
276,misratah,92,43,32.83,15.96,77.36,20.18
277,canico,20,62,31.61,-16.87,60.03,2.24
278,geraldton,5,60,56.69,-88.89,6.8,3.36
279,gizo,20,46,-10.54,154.59,67.93,2.24
280,banjar,68,94,-12.40,106.56,75.2,3.18
281,amos,90,71,48.75,-77.83,5.0,12.75
282,port hardy,90,86,45.61,-137.34,39.2,4.7
283,mount gambier,92,27,-53.60,131.21,82.67,13.69
284,navahrudak,8,61,53.63,26.43,18.23,20.29
285,yerbogachen,56,47,64.12,106.34,9.77,9.1
286,cabo san lucas,32,95,13.60,-120.95,71.96,6.31
287,arlit,0,23,19.65,6.29,87.35,8.21
288,san roque,24,100,4.46,123.53,39.56,1.83
289,margate,0,41,-43.52,43.35,77.0,14.99
290,jermuk,48,76,39.80,45.85,40.64,1.72
291,los llanos de aridane,20,52,31.21,-23.00,64.4,4.7
292,magadan,40,55,57.26,150.44,10.4,13.42
293,saint-pierre,92,100,41.33,-56.17,41.99,9.17
294,leeton,36,72,-34.94,146.61,73.58,6.76
295,manokwari,64,100,-0.41,132.88,81.95,12.01
296,lanciano,40,76,42.16,14.39,55.4,4.7
297,provideniya,12,100,56.05,-172.51,-1.39,31.7
298,guerrero negro,92,85,18.92,-123.60,56.84,11.79
299,tubmanburg,76,80,6.96,-10.34,79.88,5.75
300,ariquemes,92,98,-10.55,-63.97,72.41,2.06
301,karpogory,76,54,63.72,44.58,-0.13,7.43
302,qasigiannguit,24,76,67.52,-45.25,-5.81,2.24
303,arman,40,55,58.92,147.91,10.4,13.42
304,contratacion,12,90,6.38,-73.46,49.55,2.73
305,port blair,0,100,9.88,91.34,82.4,9.44
306,tilichiki,68,74,59.23,166.75,19.4,21.52
307,wladyslawowo,40,45,55.31,18.23,23.0,20.8
308,bilma,0,22,18.03,12.13,91.13,4.74
309,morondava,36,58,-20.97,41.50,95.09,7.99
310,montanha,12,94,-18.24,-40.20,72.5,5.86
311,zhigansk,0,34,68.62,126.17,-9.13,9.66
312,sabha,24,12,24.32,18.82,86.9,20.4
313,sorong,56,100,-0.68,131.30,82.13,4.41
314,mackay,1,92,-20.09,151.77,24.8,2.24
315,keuruu,0,78,62.81,24.96,16.72,8.05
316,huarmey,68,82,-15.74,-89.27,65.66,2.28
317,muzhi,80,78,65.80,64.03,-4.0,14.36
318,marzuq,0,22,25.23,16.30,83.57,6.87
319,aasiaat,24,92,68.80,-52.64,7.61,7.2
320,gamboula,12,96,4.28,14.97,78.8,2.95
321,kathmandu,20,23,32.38,86.90,73.4,16.11
322,beloha,0,31,-25.34,44.47,96.26,8.77
323,san angelo,1,37,31.86,-100.13,50.0,3.36
324,haines junction,0,72,60.49,-141.96,8.15,2.06
325,calarasi,12,85,46.48,23.87,59.99,6.64
326,tagusao,24,72,11.31,116.42,85.91,8.43
327,dumas,0,80,36.21,-101.73,85.19,7.2
328,hami,0,48,45.99,94.52,60.17,4.85
329,yanam,76,64,14.09,85.04,85.01,7.54
330,lasa,20,64,30.65,91.79,65.98,6.93
331,durango,1,73,37.09,-106.93,32.23,3.36
332,dunedin,0,81,-52.98,179.85,49.01,11.34
333,kastamonu,8,70,41.54,33.78,53.42,6.87
334,namibe,100,100,-19.51,5.04,75.47,3.62
335,kalawit,8,55,8.35,122.19,87.44,12.12
336,yumen,32,64,39.69,97.49,51.8,6.42
337,guilin,90,93,25.67,109.14,59.0,6.71
338,roros,12,76,63.02,12.30,-4.01,2.24
339,veraval,90,100,16.40,67.23,41.61,11.41
340,northam,75,93,-30.88,118.04,36.5,23.04
341,swan hill,100,56,-34.56,144.16,75.56,9.1
342,ahlat,8,56,38.78,42.46,46.31,4.29
343,waipawa,68,72,-44.60,176.94,55.49,6.76
344,zhumadian,92,100,32.95,114.25,47.93,10.45
345,chute-aux-outardes,90,66,51.98,-70.25,12.2,16.11
346,richards bay,80,78,-29.02,32.03,71.42,10.78
347,barkhan,0,21,30.42,69.99,76.82,6.08
348,outjo,8,57,-19.14,16.18,75.2,2.24
349,baran,0,28,24.99,76.71,88.97,9.44
350,toguchin,8,96,54.62,84.32,24.8,4.41
351,dawlatabad,0,23,35.93,64.36,80.87,13.8
352,aleksandrovsk-sakhalinskiy,0,70,50.65,142.01,14.99,9.89
353,gobabis,20,33,-23.10,18.54,87.8,6.93
354,quatre cocos,90,78,-18.54,63.16,82.4,12.75
355,marienburg,75,53,9.24,-54.11,24.08,28.86
356,udachnyy,36,57,67.19,111.56,-6.52,6.2
357,cockburn town,88,100,24.92,-72.86,73.22,16.37
358,hamilton,20,59,26.26,-64.84,60.8,29.97
359,mercedes,80,94,-33.40,-57.94,63.14,7.99
360,pemba,12,100,-12.67,40.57,82.67,8.55
361,wajir,36,94,2.23,39.75,85.01,4.52
362,sujiatun,0,81,41.45,123.28,32.72,8.43
363,portland,90,93,-41.63,140.93,43.56,2.51
364,beisfjord,75,54,66.58,18.37,30.2,13.87
365,venustiano carranza,40,54,16.34,-92.67,49.86,3.36
366,auki,0,29,-7.31,163.18,91.4,6.76
367,marfino,40,61,47.13,48.96,14.0,11.18
368,yeppoon,0,61,-18.77,154.72,80.6,5.82
369,inverell,0,83,-30.28,151.10,68.27,2.17
370,luena,8,96,-12.31,19.02,75.02,3.85
371,turgenevo,56,90,54.79,46.54,14.0,3.4
372,arroyo,1,85,14.79,-65.38,14.67,5.82
373,sibolga,56,96,-0.64,97.24,75.83,1.39
374,brae,75,55,63.85,-0.32,35.6,14.99
375,savadisla,75,61,46.64,23.47,50.0,3.36
376,agarak,68,74,39.42,46.72,41.27,1.72
377,amapa,75,100,3.90,-46.92,77.0,2.28
378,grand gaube,90,78,-12.93,68.15,82.4,12.75
379,viedma,0,95,-44.92,-59.36,58.01,7.65
380,orocue,0,66,4.61,-71.11,77.18,5.97
381,vao,12,81,-25.87,168.27,22.1,7.87
382,faya,20,25,20.43,23.62,73.4,18.34
383,alyangula,48,96,-15.38,137.15,85.1,16.82
384,okhotsk,24,100,59.21,140.44,9.77,6.53
385,baoding,88,76,39.21,115.10,39.83,4.63
386,diapaga,0,51,11.60,1.29,90.59,12.68
387,governador valadares,76,98,-18.80,-41.90,69.08,3.62
388,seddon,68,100,-42.02,174.05,55.58,7.99
389,lexington,90,48,42.35,-99.57,41.56,6.93
390,nchelenge,88,100,-8.22,28.29,69.98,3.29
391,kaitangata,0,69,-50.44,170.12,51.89,13.69
392,labuhan,56,99,-14.02,99.41,75.92,2.84
393,kontagora,0,65,10.68,4.33,86.9,10.0
394,hobyo,8,67,5.87,49.66,85.28,12.8
395,tiznit,0,90,24.86,-10.20,55.4,2.06
396,alice town,0,100,25.07,-78.69,70.43,10.0
397,kamenka,80,98,70.96,44.31,18.23,4.41
398,puerto escondido,0,100,9.01,-100.68,81.05,11.45
399,salalah,0,61,15.62,57.52,82.4,11.41
400,moerai,92,100,-21.40,-151.33,76.28,23.53
401,seoul,0,45,36.36,125.04,48.56,10.29
402,boguchany,92,68,59.30,96.24,29.93,4.18
403,ossora,80,87,60.11,163.62,25.61,31.92
404,najran,0,17,18.02,43.78,84.2,3.36
405,ulladulla,0,53,-38.23,153.84,77.0,8.05
406,dalvik,20,73,65.18,-19.17,21.2,13.87
407,manga,0,74,-14.37,-44.91,85.1,11.45
408,grenada,90,93,34.15,-89.99,66.2,12.75
409,ponta do sol,36,97,21.09,-31.47,65.75,2.73
410,solnechnyy,24,63,63.74,139.41,20.84,4.18
411,pozo colorado,0,83,-23.59,-59.57,78.53,4.18
412,tandalti,0,16,12.67,31.96,95.0,12.01
413,san patricio,32,83,12.69,-112.51,79.07,4.52
414,zyryanka,0,53,68.29,151.16,-18.04,5.86
415,chegutu,0,58,-18.44,30.24,80.78,13.13
416,srednekolymsk,0,50,72.73,155.18,-17.05,5.41
417,constitucion,32,70,24.21,-115.55,42.26,3.18
418,jalu,0,22,25.75,20.48,80.69,14.81
419,zharkent,0,76,44.40,80.69,26.78,3.96
420,laon,92,94,49.70,3.63,39.74,11.01
421,murighiol,0,67,45.01,29.17,57.2,18.34
422,svetlaya,80,83,46.18,139.44,34.25,9.44
423,genhe,88,71,50.95,121.62,28.76,13.24
424,kanigoro,48,90,-8.73,112.09,83.57,3.51
425,great falls,90,100,47.06,-110.50,30.2,4.7
426,horsham,92,30,-35.62,142.07,82.58,19.28
427,porto velho,20,94,-9.19,-63.45,73.4,2.28
428,punta de bombon,24,100,-17.65,-71.87,69.53,7.99
429,ust-nera,64,67,64.06,140.21,-11.92,2.06
430,raudeberg,0,30,68.20,1.83,22.98,3.36
431,madaoua,20,15,13.41,6.08,93.83,8.66
432,necochea,0,81,-51.33,-53.74,55.13,11.01
433,artesia,1,20,32.93,-104.82,54.12,12.75
434,pontal do parana,90,93,-25.45,-47.98,66.2,5.82
435,vestmannaeyjar,56,91,57.05,-20.11,44.51,18.28
436,komsomolskiy,88,70,71.59,172.40,-2.11,7.2
437,alofi,24,94,-18.77,-166.16,73.4,1.12
438,ruwi,0,69,24.61,57.98,82.4,12.75
439,namwala,36,86,-15.37,26.30,78.8,7.99
440,popondetta,92,92,-9.05,148.83,71.51,1.39
441,barao de melgaco,0,94,-16.93,-56.21,77.0,3.36
442,riyadh,0,12,24.77,47.71,84.2,8.05
443,reading,1,53,40.55,-75.90,26.6,5.82
444,sao joao da barra,80,100,-29.66,-29.16,76.37,10.33
445,atherton,40,81,-18.39,143.27,32.68,13.87
446,opuwo,48,82,-18.49,14.50,75.02,3.62
447,minab,90,69,25.76,57.03,78.8,9.17
448,iguape,76,100,-25.61,-46.93,75.38,7.2
449,novoagansk,64,66,61.79,77.40,30.38,6.76
450,george town,75,63,17.33,-82.05,90.39,8.05
451,road town,20,100,18.83,-64.57,71.6,5.82
452,snezhnogorsk,0,73,68.14,87.59,21.2,8.95
453,buenos aires,0,64,6.76,-85.72,66.52,8.05
454,winslow,75,86,36.01,-110.83,32.0,23.04
455,sovkhoznyy,20,71,56.55,61.40,51.8,29.08
456,ahuimanu,1,88,38.95,-151.16,72.5,3.74
457,hays,1,92,38.93,-98.79,29.68,8.05
458,la romana,20,94,18.27,-69.11,68.0,2.62
459,mandal,20,35,25.24,74.33,42.35,5.64
460,broome,75,94,-17.13,120.93,32.0,23.04
461,avera,90,81,-25.53,-153.08,52.54,2.73
462,nemencine,0,44,54.70,25.69,17.6,20.8
463,nuuk,12,73,61.65,-54.22,23.0,0.6
464,la ronge,90,74,60.55,-106.17,30.2,4.7
465,kizema,36,82,60.63,44.97,-2.02,10.89
466,nara,20,32,18.10,-8.02,51.28,1.12
467,la palma,32,85,4.60,-81.66,67.1,1.39
468,san jeronimo,92,100,9.82,-104.26,41.36,1.61
469,pochutla,0,100,6.50,-98.12,79.16,8.99
470,khandbari,80,72,28.22,86.97,36.59,0.6
471,xapuri,44,97,-10.19,-68.72,74.03,2.95
472,kirakira,68,100,-7.73,164.05,81.68,11.9
473,chico,75,81,39.95,-121.82,42.06,10.29
474,laguna,92,55,-29.66,-46.75,63.41,1.95
475,mareeba,75,69,-16.26,144.14,82.4,12.75
476,ilabaya,44,77,-17.00,-70.28,52.07,0.94
477,college,90,92,64.18,-148.07,20.57,1.95
478,santander,20,70,45.39,-3.92,86.0,4.7
479,todos santos,12,84,23.76,-110.37,69.08,11.56
480,coahuayana,0,66,1.94,-111.51,54.14,1.95
481,brigantine,1,54,38.73,-73.69,29.1,8.05
482,naduvattam,64,72,11.48,76.55,78.62,2.51
483,staryy nadym,88,87,65.79,73.19,2.39,12.68
484,zhanaozen,36,91,43.49,54.01,50.9,13.13
485,aktau,0,66,43.99,51.25,48.2,20.13
486,valentin gomez farias,32,70,28.21,-106.66,42.26,3.18
487,kuji,0,49,36.36,141.03,33.8,8.21
488,chicama,20,93,-13.06,-88.57,66.2,3.36
489,ahipara,20,99,-30.76,167.26,65.57,20.62
490,ibague,88,100,4.36,-75.31,67.01,2.39
491,santo antonio do monte,80,96,-20.09,-45.24,67.46,2.95
492,mgandu,92,97,-6.88,33.64,69.71,3.4
493,ancud,100,98,-40.74,-83.26,48.92,2.06
494,deder,92,88,8.96,41.72,68.63,3.96
495,acajutla,80,94,10.69,-90.94,75.92,2.73
496,tripoli,20,59,32.88,12.98,66.2,8.05
497,ixtapa,5,100,10.06,-105.91,62.6,2.39
498,ust-kulom,80,63,60.76,53.39,8.96,7.76
499,kudahuvadhoo,0,100,3.74,62.63,84.74,10.78
